% Model:              Two_segments_demag.mph
% Version:            COMSOL 5.6.0.341
% Date:               Feb 13 2022, 15:09
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% s                       Height
0                         5.670203415950651E-5
0                         0.0012678943530563202
1.6538459768064413E-5     0.0024790788976188525
3.307691953612947E-5      0.0036902549671430328
4.9615379304194436E-5     0.0049014218610026914
6.615383907225993E-5      0.006112578878535108
8.26922988403212E-5       0.007323725319075774
9.923075860839004E-5      0.008534860481965636
1.1576921837645334E-4     0.009718396143135397
1.3230767814451696E-4     0.010946309300495357
1.488461379125847E-4      0.012174205833800154
1.6538459768064806E-4     0.013402085034856456
1.8192305744871445E-4     0.01462994619549449
1.9846151721677793E-4     0.015857788607545026
2.149999769848387E-4      0.017085611562847252
2.3153843675290507E-4     0.01831341435323914
2.4807689652096984E-4     0.01954119627057837
2.6461535628903517E-4     0.02076895660672614
2.811538160571015E-4      0.021996694653554055
2.9769227582516393E-4     0.02322440970292952
3.142307355932293E-4      0.024452101046757525
3.30769195361295E-4       0.025679767976923912
3.4730765512935673E-4     0.026902087934081782
3.6384611489742217E-4     0.028126803473934
3.8038457466549064E-4     0.029351481555130347
3.969230344335524E-4      0.030576121467770195
4.134614942016173E-4      0.03180072250200436
4.2999995396968295E-4     0.03302590768580953
4.4653841373774796E-4     0.03426712124162378
4.630768735058127E-4      0.03550829169834392
4.7961533327387553E-4     0.03674941833941536
4.961537930419398E-4      0.03799050044831173
5.126922528100042E-4      0.03923153730850183
5.292307125780695E-4      0.04047252820349413
5.457691723461349E-4      0.04171347241679039
5.623076321141987E-4      0.042961797570412075
5.788460918822652E-4      0.044204492589344356
5.953845516503274E-4      0.045444043973843454
6.119230114183915E-4      0.04669533926538041
6.284614711864565E-4      0.04794657887016154
6.449999309545216E-4      0.04919776206381849
6.615383907225858E-4      0.050448888121979896
6.780768504906507E-4      0.05171896365656807
6.946153102587147E-4      0.05297177557329217
7.111537700267822E-4      0.054224518779956175
7.276922297948455E-4      0.05547719254922857
7.442306895629095E-4      0.0567297961537629
7.607691493309755E-4      0.05800054168594945
7.773076090990382E-4      0.05927157233930925
7.938460688671039E-4      0.06054253501893111
8.103845286351696E-4      0.061813428989115723
8.269229884032342E-4      0.06308425351420427
8.43461448171298E-4       0.06435500785850425
8.599999079393653E-4      0.06563032409187453
8.765383677074264E-4      0.0669099978623162
8.930768274754927E-4      0.0681895857927271
9.096152872435565E-4      0.06946908714142791
9.261537470116195E-4      0.07074850116674289
9.426922067796849E-4      0.07202782712706811
9.592306665477519E-4      0.07330967948262694
9.757691263158161E-4      0.07462100064337805
9.9230758608388E-4        0.07593223589834
0.001008846045851943      0.07724338449319895
0.0010253845056200088     0.07855444567370612
0.0010419229653880735     0.07986541868562119
0.0010584614251561379     0.08116176893653218
0.0010749998849242037     0.08246933519664262
0.0010915383446922684     0.08377679390650533
0.001108076804460333      0.08508414430720289
0.0011246152642283972     0.0863913856398056
0.0011411537239964626     0.08769851714549738
0.0011576921837645273     0.08904433293914478
0.0011742306435325912     0.09037642625171359
0.0011907691033006564     0.09170841474288319
0.0012073075630687213     0.09304029764116963
0.001223846022836787      0.09437207417512324
0.0012403844826048515     0.09570374357333009
0.0012569229423729145     0.09705590232344734
0.0012734614021409792     0.09840330279547281
0.0012899998619090444     0.09975057709666081
0.0013065383216771078     0.1010977244455588
0.0013230767814451734     0.1024447440608215
0.0013396152412132377     0.10379163516110188
0.0013561537009813037     0.10514161810345084
0.0013726921607493667     0.10653363109769008
0.0013892306205174306     0.10792551726945447
0.001405769080285497      0.1093172758193928
0.0014223075400535599     0.11070890594821783
0.0014388459998216255     0.1121004068566889
0.0014553844595896898     0.11349177774560909
0.0014719229193577562     0.11486306700163183
0.00148846137912582       0.11625831356770562
